,Finish_x,Color,noterating,Comments,Taste,url,Nose,Category,,Strength,Bottler,District,Vintage,Label,header,Bottled,Bottle code,Distilleries,Price_x,Barcode,Casktype,Bottling serie,Age,Number of bottles,Bottled for,Casknumber,Distillery,Market,Size,Body,overall rating,Finish_y,Price_y,Initial taste,Weighted Rate,Nose - Aroma,Presentation,number of member votes
0,"Wow, Mango langanhaltend und weich entwickelnde. Das darf nicht enden",Amontillad,92,Was fr ein Paket.....,Ausgezeichnete Balance zwischen Holz und tropischen Frchten. Mango ist allgegenwrtig,http://www.whiskybase.com/whisky/40185/benriach-1976,"Mango extrem, reif und fruchtig","Single Malt from Speyside, Scotland",,49.3 % Vol.,Distillery Bottling,Speyside,1976,,BenRiach 1976,01.2013,,,"370,00$ 492,10 296,00",,Sherry Cask,Single Cask Bottling,36 years old,195,The Whisky Fair,731,BenRiach,,700 ml,92.50,91.31,93.50,91.50,93.50,92.70,92.50,91.50,31
1,"The long, salty finish allows some citrus to shine through before fading gently.",Old gold,88,"Well, well, the Belgian boys from Tongeren sure know what the good stuff is. The price, if I am not mistaken, is around 100 EUR. Recommended!","It is oily and wonderfully mouth coating. Now the sweetness comes first. Pralin, sweetened coffee, oranges and caramel. But before long, the somewhat sharp maritime traits kick in. The peat, which was quite discreet on the nose, shows its muscles on the palate. Feisty on liquorice and white pepper. Ginger. Candied ginger, that is. Earth. But what a nice integration of tastes. No flavour screams louder for attention than any other, giving it the label well balanced.",http://www.whiskybase.com/whisky/45597/laphroaig-1997-sv,"I have only just poured my dram and already the wonderful sherry notes waft up to me. Despite the fact that this is a cask strength teenager, it is far from as sharp as I would have expected. It is round and relaxed. Beautiful balance between the salty, maritime and medicinal elements (seaweed, iodine, oysters, cow hide) and the sweet influence of the wine. That translates into red marmalade, yellow plums and raisins. Leather, unmistakable. Hints of coffee even. Wow!","Single Malt from Islay, Scotland",,55.4 % Vol.,Signatory Vintage,Islay,28.04.1997,,Laphroaig 1997 SV,26.09.2013,,,112.00$ 148.96 89.60,,Refill Sherry Hogshead,Cask Strength Collection,16 years old,292,for Vinothek Massen & De Tongerse Whiskyvrienden,3369,Laphroaig,,700 ml,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,10
2,"Sweet, the taste of the portcask comes through. Not that long.",Tawny,82,"A summerwhisky, not too much peat, not too sweet.","It stays a Talisker, so a little peat with a little salt and pepper and then it becomes sweet.",http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,Sweet peat.,"Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
3,"Die Eiche ist eher schnell weg, erdige Torfaromen und Gewrze bleiben stehen. Mittellang.",Burnished,82,"Ganz starker Malt! Auch ohne Alter sehr interessant. Steht ""breiter"" da, als der 10er.","Torf, erdig! Genauso aber fruchtige Se und spter dann Karamellnoten, die dann in wrzige Schrfe wechseln; ""Chili catch"", aber milder, als beim 10er; alkoholische Frische (jung?); zum Schluss runden mild-wrzige Eichennoten das Erlebnis ab. Kann etwas Wasser vertragen, muss aber nicht sein. gewrze nehmen dann zu, die Se ab.",http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,"Torf und Rauch (offenes Feuer mit feuchtem Holz); dann fruchtiger Wein, Pflaumen und im Hintergrund kommen dann die Eichennoten; dazwischen noch etwas herb-krftiges (maritim?); mit etwas Phantasie Karamellpudding","Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
4,"Moyenne, sur le caramel, le bois, la fume, l'iode. C'est trs doucetre, vanill, un peu poivr.",Amber,83,"Je suis partag. On retrouve le talisker, avec plus de sucre. C'est assez facile boire, mais mon avis dispensable, compar au Talisker 10 (quoique s'il continue de devenir de plus en plus sucr...) 83 + / 84 -","Trs sucr, un peu herbeux, sur le caramel, le bois, la viande fume. Un peu crmeux, sherry, des traces d'iode.",http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,"Un peu fum, iod, sucr, caramlis, et des notes de bois. Le caractre du Talisker a t prserv.","Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
5,"The finish is medium in length and the youth is easy to identify. The influence of the port casks might have affected by yielding a slightly more fruity finish but geez, this needs more time on the wood.",Burnished,83,The flavors are there but the separation of flavors from the spirit and from the wood is obvious when adding water. Probably a sign of immaturity. Yet it has good potential and I would love to see an older version of this.,Rough on the palate with black currant and apricots. Sweet wine and sweet peat. The body is quite thin and it disintegrates with water.,http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,"Citrus, peat, salty, marine and young barley spirit involved in this one. Quite fruity though and I like the balance between fruit and peat.","Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
6,"Mittel lang, s, rauchig und wrzig",Chestnutoloroso sherry,84,,"Pfeffer und dann ganz viel se mit Rauch. Keine Eiche im Geschmack zu finden. Zum Schluss noch mal Pfeffer. Metallischen Geschmack kann ich nicht finden. Hmm ?!? vielleicht doch ein wenig, bin mir nicht so recht sicher...:-)",http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,Rauch und viel Portwein se mit etwas Vanille und Eiche.,"Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
7,"long with pepper, briny - salt, dairy with raisins (melkmoes) and some liquorice",Burnished,84,interesting finish,"pepper, vanilla, some forest fruits, oily, smoke and leather",http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,"sweet pepper, pepper, smoke, peat and cloves","Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
8,"At first sweet like sticky toffee, gradually getting hotter, spicier. Mustard seeds, caraway seeds, anise, cloves, eucalyptus oil, honey, - all accompanied by orange roughness. Has got a medium duration. Eventually it dries out through rosehip, orange pith and hazelnut.",Burnished,87,,"Corny, mellowly-sweet initially, dried peach and apricot, moderate pungency, Irn-Bru, ginger, slightly salty then, cold-smoked cheese, cereals, (thinly) evaporated milk.",http://www.whiskybase.com/whisky/40583/talisker-port-ruighe,"Prickling fruity smokiness hits the nostrils straight away, interwoven nicely with various soft fruit. Stewed strawberries and raspberries, ripe apricot, something vegetable too. Besides, it makes for common mint, basil, mouldy, cellar fustiness, subtle port wine note - way in the back, slightly figuline, stewed plums/prunes, dried cranberries, thin slice of smoked cheese?, dry stout, salami?, almond, touch of rosewood, blossomed fruit tree.","Single Malt from Islands, Scotland",,45.8 % Vol.,Distillery Bottling,Isle of Skye,,,Talisker Port Ruighe,2013,L3093CM000 01919133,,"41,90$ 55,73 33,52",5000281033143,Port Cask Finish,,,,,,Talisker,,700 ml,83.17,83.57,83.50,80.67,84.33,83.37,83.33,84.33,157
9,"De longueur moyenne, la tourbe fume fait son retour. Les pices sont toujours prsentes, relguant la poire au second plan.",Pale straw,85,"Un whisky agrable et bien fait, mais faiblard sur la fume typique de Bowmore. Il se rapproche plus dun profil Highland je trouve.",Bouche sirupeuse et sucre. De la poire vanille et des pices poivres. Des soupons de gingembre.,http://www.whiskybase.com/whisky/55338/bowmore-1999-ed,"Malt, sucr et lgrement fum. Des notes dpices douces et de poire en compote.","Single Malt from Islay, Scotland",,51.4 % Vol.,Edition Spirits,Islay,1999,,Bowmore 1999 ED,2014,,,"95,20$ 126,62 76,16",,Refill Hogshead,The First Editions,14 years old,188,,,Bowmore,,700 ml,0.00,83.50,0.00,0.00,0.00,0.00,0.00,0.00,2
